,name,grape,region,variety,rating,notes
0,Laurenz V Charming Gruner Veltliner 2013,,"Kamptal, Austria",White Wine,90.0,"Aromas of ripe apples and a typical Veltliner spiciness marry to create a fascinating fruit bouquet. On the palate, the wine is soft and juicy, supported by a fine fruit acidity. Very harmonious, allowing for perfectly smooth drinking. Simply charming!"
1,Laurenz V Charming Gruner Veltliner 2014,,"Kamptal, Austria",White Wine,90.0,"Aromas of ripe apples and a typical Veltliner spiciness marry to create a fascinating fruit bouquet. On the palate, the wine is soft and juicy, supported by a fine fruit acidity. Very harmonious, allowing for perfectly smooth drinking. Simply charming!"
2,Laurenz V Singing Gruner Veltliner 2007,,Austria,White Wine,90.0,"A very attractive fruit bouquet yields apple, peach and citrus aromas along with a typical Veltliner spiciness and a touch of white pepper. The soft and juicy palate is supported by fine acidity. It sings on the palate!"
3,Laurenz V Singing Gruner Veltliner 2010,,Austria,White Wine,88.0,"A very attractive fruit bouquet yields apple, peach and citrus aromas along with a typical Veltliner spiciness and a touch of white pepper. The soft and juicy palate is supported by fine acidity. It sings on the palate!"
4,Laurenz V Singing Gruner Veltliner 2011,,Austria,White Wine,88.0,"A very attractive fruit bouquet yields apple, peach and citrus aromas along with a typical Veltliner spiciness and a touch of white pepper. The soft and juicy palate is supported by fine acidity. It sings on the palate!"
5,Laurenz V Singing Gruner Veltliner 2013,,Austria,White Wine,89.0,"A very attractive fruit bouquet yields apple, peach and citrus aromas along with a typical Veltliner spiciness and a touch of white pepper. The soft and juicy palate is supported by fine acidity. It sings on the palate!"
6,Lava Cap American River Red,,"El Dorado, Sierra Foothills, California",Red Wine,90.0,"This wine was created as a table wine. We wanted the wine to be enjoyable and distinguishable as an El Dorado AVA wine, but varietal character takes a back seat to the the smooth and flavorful structure. During the blending process, we selected wines with supple tannins, smooth spice, and a decadent body that work together while never dominating with one varietal character. Great fruit, great body, a little toasty oak, and the smooth, rich Lava Cap finish! "
7,Lava Cap Barbera 2010,,"Sierra Foothills, California",Red Wine,90.0,"The plump, rich cherry, raspberry and plum fruit is immediately appealing when first poured, feeling soft and rich. The robust fruit coupled with acidity and soft tannin makes this one of the best, most versatile food wines, which can carry everything from vegetable to meat dishes.  "
8,Lava Cap Battonage Chardonnay 2012,,"Sierra Foothills, California",White Wine,91.0,"This perfectly balanced wine begins with inviting aromas of dried flowers, twist of lime and lightly toasted oak. On the palate, enticing flavors of pear, lime, vanilla and butterscotch. The wine pairs nicely with roast chicken, turkey or pasta with cream sauce."
9,Lava Cap Cabernet Sauvignon 2013,,"El Dorado, Sierra Foothills, California",Red Wine,90.0,Lava Cap’s estate grown Cabernet Sauvignon grapes have long been recognized for producing a wine with lovely structure and vibrant fruit character. The fragrant must of fruit was cold-soaked for three days to enhance color and flavor.
10,Lava Cap Cabernet Sauvignon 2016,,"El Dorado, Sierra Foothills, California",Red Wine,93.0,"Lava Cap’s estate grown grapes have long been recognized for producing a wine with lovely structure and vibrant fruit character. The moderate weather produced a wine that stretches from the leaves to the roots with a tightly balanced, pure fruit. The fragrant must of fruit was cold-soaked for three days to enhance color and flavor. The wine was barrel aged giving a lovely balance between tannins and the layers of flavo"
11,Lava Cap Petite Sirah 2013,,"El Dorado, Sierra Foothills, California",Red Wine,90.0,"Lava Cap's 2013 Petite Sirah is a BIG one for the ages. The early growing season, mellow summer, and intense fall allowed near perfect ripening conditions. The 2013 Petite Sirah has notes of elegant wild licorice, blueberries, and complex oak. With a sip, the massive wine slams the palate with a stampede of plum and white pepper flavors  which perfectly transition to blackberry and a long vanilla-kola finish. Will age beautifully into 2025."
12,Lava Cap Petite Sirah 2014,,"El Dorado, Sierra Foothills, California",Red Wine,92.0,"On the nose, the 2014 Petite Sirah has notes of elegant wild licorice, blueberries, and complex oak. With a sip, the wine slams the palate with a stampede of plum and white pepper flavors which perfectly transition to blackberry and a long vanilla-cola finish. "
13,Lava Cap Petite Sirah 2016,,"El Dorado, Sierra Foothills, California",Red Wine,92.0,"The 2016 Petite Sirah has notes of elegant wild licorice, blueberries, and complex oak. With a sip, the massive wine slams the palate with a stampede of plum and white pepper flavors which perfectly transition to blackberry and a long vanilla-cola finish."
14,Lava Cap Reserve Chardonnay 2015,,"El Dorado, Sierra Foothills, California",White Wine,92.0,Zesty lemon and apple blossom aroma lead into pleasant apple and pear flavors. Vanilla notes complement a lightly toasted pie crust finish.
15,Lava Cap Reserve Chardonnay 2018,,"El Dorado, Sierra Foothills, California",White Wine,92.0,The 2018 vintage continues to consistently elevate Lava Cap’s Chardonnay. Zesty lemon and apple blossom aroma lead into pleasant apple and pear flavors. Vanilla notes complement a lightly toasted pie crust finish.
16,Lava Cap Reserve Chardonnay 2016,,"El Dorado, Sierra Foothills, California",White Wine,92.0,Zesty lemon and apple blossom aroma lead into pleasant apple and pear flavors. Vanilla notes complement a lightly toasted pie crust finish.
17,Lava Cap Reserve Merlot 2015,,"El Dorado, Sierra Foothills, California",Red Wine,90.0,Pleasant forest greenery and plum scents highlight the aroma of dark cherry. Toasted oak fill the palate and bright acidity define a nicely focused finish.
18,Lava Cap Sauvignon Blanc 2015,,"El Dorado, Sierra Foothills, California",White Wine,90.0,"An expressive aromatic wine displays note soft kiwi, celery and asian pear. The wines liveliness accents flavors of grapefruit, white peach and casaba melon.  The finish is smooth and long with a touch of supple fleshiness."
19,Lava Cap Sauvignon Blanc 2017,,"El Dorado, Sierra Foothills, California",White Wine,89.0,"After the grapes are crushed, they are 100% fermented with 2 distinct yeast strains in small 500-gallon stainless steel tanks. After fermentation, the wine remains in the stainless steel tanks where it ages for an additional 4 months. The wine was bottled the first week of February and bottled aged for 4 weeks before being released. "
20,Lava Cap Syrah 2009,,California,Red Wine,91.0,"Lava Cap's Syrah vineyard is located on a gentle, south facing slope. This location allows for extended hang-time which yields fully developed aroma, flavor and tannin resulting in wine of intensity and depth. Dark cherry and plum provide mouth-filling intensity with a hint of carob and spice."
21,Lava Cap Syrah 2014,,"El Dorado, Sierra Foothills, California",Red Wine,92.0,"The wine opens with a touch of allspice, which transitions to rich, deep flavors of blackberry and blueberry. The body is elegant and smooth, leaving lingering tannins that will mature with age. A powerful wine with a stylistically rich, smooth finish."
22,Lava Cap Syrah 2013,,"El Dorado, Sierra Foothills, California",Red Wine,92.0,"The Syrah Vineyard grows on a beautiful south facing slope reminiscent of the Hermitage hill in the Rhone Region of France. With the cooling breezes from our vineyards 2500' Elevation,  rich, and well drained soils, our Syrah vines develop the lengthy flavors consistent with acclaimed Syrah wines. The wine begins with black and blue berry, and a touch of allspice highlight the wine’s presentation. Sweet tannins frame the gentle focused finish."
23,Lava Vine Winery Knights Valley Reserve Cabernet Sauvignon 2013,,"Knights Valley, Sonoma County, California",Red Wine,92.0,"Extreme focus, and unparalleled balance from start to finish. Blood orange with clove, and hints vanilla bean on the nose mingle with fresh cranberry on the palate. From high on the hills of Knights Valley, the deep wet-stone minerality mingles on top of a rich, velvet entrance to a full, creamy mid-palate."
24,Lava Vine Winery Napa Valley Cabernet Sauvignon 2014,,"Napa Valley, California",Red Wine,91.0,"A wonderful representation of how amazing the 2014 vintage could be and how to balance Napa Valley’s Intensity. A ripe cherry and cassis entry with dusted cocoa and a touch of graham cracker entice. The silky rich entry is so balanced there seems to be no separation from mid-palate through the lengthy finish with multitudes of fruit and spice to accompany. This Cabernet Sauvignon is fully integrated, super complex and will age beautifully."
25,Lava Vine Winery Napa Valley Reserve Cabernet Sauvignon 2012,,"Napa Valley, California",Red Wine,92.0,"Black berries and hints of strawberry invite with muddled cherry cola spices. Deep earthy tones on a silk entry proceed to a rich, full mid-palate. Expressive tannins make for a beautiful finish."
26,Lava Vine Winery Napa Valley Reserve Cabernet Sauvignon 2013,,"Napa Valley, California",Red Wine,92.0,"A slight minty nose with dark chocolate and fresh blueberry captivate the senses. Notes of a baking spice dance on the pallet before giving way to rich, dark, and earthy finish. This extremely balanced gem will continue to show plenty of structure and integrity for years to come. Enjoy!"
27,Lavau Chateauneuf-du-Pape 2016,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,92.0,"Complex nose of plums and black cherries with a hint of cocoa and cloves. Full and well-balanced on the palate, showing extreme finesse and remarkable length.his Châteauneuf will pair nicely with duck in green pepper, guinea fowl or pheasant, and will be at home with any festive fare."
28,Lavau Chateauneuf-du-Pape 2014,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0,"Complex nose of plums and black cherries with a hint of cocoa and cloves. Full and well-balanced on the palate, showing extreme finesse and remarkable length."
29,Lavau Chateauneuf-du-Pape 2015,,"Chateauneuf-du-Pape, Rhone, France",Red Wine,91.0,"Complex nose of plums and black cherries with a hint of cocoa and cloves. Full and well-balanced on the palate, showing extreme finesse and remarkable length."
30,Lavau Gigondas 2013,,"Gigondas, Rhone, France",Red Wine,91.0,"The natural exposure of this vineyard delivers a wine with high concentration, rich and well balanced. This wine is perfect with elaborated sauce dishes, a piece of meat and cheese. You can also enjoy this wine on its own."
31,Lavau Gigondas 2013,,"Gigondas, Rhone, France",Red Wine,91.0,#72
32,Lavau Gigondas 2014,,"Gigondas, Rhone, France",Red Wine,90.0,Lavau Gigondas exhibits a dense ruby/purple color and notes of blueberries and blackberries. The wine is layered and full-bodied.
33,Lavau Gigondas 2015,,"Gigondas, Rhone, France",Red Wine,90.0,"Deep on the nose with pronounced spicy aromas (pepper, nutmeg), typical of the appellation and which accentuate the aromas of blackcurrants and raspberry jam. On the palate, the wine shows a solid yet nicely coated structure, volume and superb length. "
34,Lavau Gigondas 2016,,"Gigondas, Rhone, France",Red Wine,92.0,"Deep on the nose with pronounced spicy aromas (pepper, nutmeg), typical of the appellation and which accentuate the aromas of blackcurrants and raspberry jam. On the palate, the wine shows a solid yet nicely coated structure, volume and superb length."
35,Lavau Rasteau 2015,,"Rasteau, Rhone, France",Red Wine,90.0,"A wine with strong Mediterranean accents, both in terms of its aromas of garrigue scrubland, spice and ripe fruit on the nose, and in terms of its power and intensity on the palate. A generous yet well-balanced wine with long-lingering aromas. "
36,Lavau Rasteau 2016,,"Rasteau, Rhone, France",Red Wine,91.0,"A wine with strong Mediterranean accents, both in its aromas of garrigue scrubland, spice and ripe fruit on the nose, and in terms of its power and intensity on the palate. A generous yet well-balanced wine with long-lingering aromas."
37,L'Aventure Cabernet Sauvignon 2006,,"Paso Robles, Central Coast, California",Red Wine,90.0,"Classic, extremely well balanced palate, peppery, herbal notes in the nose, bright, good density and breed."
38,L'Aventure Chloe 2014,,"Paso Robles, Central Coast, California",Red Wine,97.0,"Blend: 67% Syrah, 33% Old Vine Grenache "
39,L'Aventure Cote A Cote 2006,,"Paso Robles, Central Coast, California",Red Wine,96.0,"Blend: 40% Mourvedre, 30% Grenache, 30% Syrah"
40,L'Aventure Cote A Cote 2007,,"Paso Robles, Central Coast, California",Red Wine,95.0,"40% Mourvedre estate, 40% Grenache estate, 20% Syrah estate. Ruby in color with garnet edges, the aromas are diverse, with a spice bouquet, mineral notes, and blueberries leading the way. The attack on the palate is vibrant, with rich violet and wild berry flavors standing over a stream of cherry, pomegranate, and tar. The finish is opulent, with vanilla spice sounding a final note. "
41,L'Aventure Cote A Cote 2010,,"Paso Robles, Central Coast, California",Red Wine,93.0,"An explosive nose of fresh fruit and pastille candies. The palate is broad and vibrant, with great acidity that carries the complex red and blue fruit flavors of fresh plum, dark cherries and blueberries long towards a well integrated finish. Wonderful pepper and anise notes flirt with the fruit, and give great form to this wine."
42,L'Aventure Cote A Cote 2011,,"Central Coast, California",Red Wine,96.0,"Ruby in color. Intensely floral nose of violets, jasmine, and soft red fruit. A firm attack of vinous, mineral, citrus and soft, round, red fruit. Brilliant Syrah flavors. Smoky, peppery, toasty finish with cardamom notes. This is an excellent Cote a Cote that will be enjoyed immensely at table."
43,L'Aventure Cote A Cote 2014,,"Paso Robles, Central Coast, California",Red Wine,96.0,"Blend: 50% Grenache, 28% Mourvedre, 22% Syrah"
44,L'Aventure Cote A Cote (slightly stained labels) 2012,,"Paso Robles, Central Coast, California",Red Wine,96.0,"Blend: 60% Grenache, 30% Mourvedre, 10% Syrah"
45,L'Aventure Estate Cuvee (1.5 Liter Magnum) 2008,,"Paso Robles, Central Coast, California",Red Wine,94.0,"Purple/ black, with like aromas of cedar box, wild blackberries, black cherry, and fresh, raw, beef. Anise and cola flavors ride the big attack, resolving themselves in tight flavors of blueberries and acacia in the enormous middle palate, finishing long with orange rind, spice and everything. "
46,L'Aventure Estate Cuvee 2004,,"Paso Robles, Central Coast, California",Red Wine,98.0,"This wonderfully ""juicy"" 2004 Estate Cuvee is unique in that a percentage of the blend was ""co–fermented,"" due to the fact that all three of the varieties that comprise Estate Cuvee - Cabernet Sauvignon, Syrah, and Petit Verdot - arrived at maturity simultaneously. For the first time in his 24 years as a wine maker, Stephan saw these grapes fermenting in the same tank. The result is a seamless, complex work of art. Fresh aromas of plums, macerated blackberries, and blueberries in the nose, and dark, intense fruit on the palate. The mouth and lengthy finish are made more complex by hints of leather, tar, and tobacco leaf. An augmentation of Petit Verdot puts the 2004 on the classic track of the 2001 vintage."
47,L'Aventure Estate Cuvee 2005,,"Paso Robles, Central Coast, California",Red Wine,96.0,"Blend: 52% Syrah, 40% Cabernet Sauvignon, 8% Petit Verdot"
48,L'Aventure Estate Cuvee 2006,,"Paso Robles, Central Coast, California",Red Wine,97.0,"""A thrilling, nearly perfect efforts is the 2006 Estate Cuvee. A blend of 49% Syrah, 37% Cabernet Sauvignon, and 4% Petit Verdot, the 2006 Estate Cuvee may be even better. Tasting like a superb example of a premier grand cru St.-Emilion made from California-s limestone soils, it exhibits a dense purple color as well as a perfume of sweet creme de cassis, fruitcake, licorice, incense, tobacco leaf, and spice box. A voluptuous texture, fabulous opulence, and thrilling concentration as well as purity make for a prodigious example of blended red wine that will provide enormous pleasure and complexity for 12-15+ years."
49,L'Aventure Estate Cuvee 2007,,"Central Coast, California",Red Wine,95.0,"49% Syrah estate, 37% Cabernet Sauvignon estate, 14% Petit Verdot estate. Opaque ebony center, purple margins. Powerful, complex aromas of graphite, ""viande"", dark fruit, licorice, tea-leaf...have we forgotten anything? Spicy notes introduced in the aroma linger like cloves and sage in a rich tapestry of flavors that include wild blackberry, tar, gooseberry, and acacia. The length of the finish is memorable. You really need to try this wine for yourself– words do not do it justice! "
50,L'Aventure Estate Cuvee 2008,,"Central Coast, California",Red Wine,94.0,"Purple/ black, with like aromas of cedar box, wild blackberries, black cherry, and fresh, raw, beef. Anise and cola flavors ride the big attack, resolving themselves in tight flavors of blueberries and acacia in the enormous middle palate, finishing long with orange rind, spice and everything. "
51,L'Aventure Estate Cuvee 2010,,"Paso Robles, Central Coast, California",Red Wine,92.0,"This is one of the more ""classic"" versions of the iconic Cab/ Syrah blend. While generously juicy, in the spirit of the vintage, it captures the essence of the blend, with exuberant Syrah notes brought to heel by an almost austere Cabernet. The attack is grand, with cassis and cola, licorice and graphite, ending in a gripping, long, deep, complex finish. As usual, there are so many complexities and layers of flavor in this wine, that you really need to lay down a few cases and watch it develop over the years. This is definitely the ""creme de la creme"" from the 2010 range.  "
